"","num_Mandatory","num_Gov","num_Medicaid","num_Naloxone","CoBRAS_Scale","Stigma_Scale_Score","dmale","ddem","dlean_DEM","dindependent_non_identified","dlean_rep","drep","dless_HS","dHS","dsome_col","dage30_44","dage45_59","dage60_plus","dNortheast","dMidwest","dWest","dSouth","race_BLACK","race_HISPANIC","race_ASIAN","race_OTHERMIXED","incomedummy_25to49K","incomedummy_50to84K","incomedummy_85to150K","incomedummy_OVER150K","dPersonal_use_ever","dFamily_use_ever","dPersonal_conviction_ever","dFamily_conviction_ever"
"100",5,4,4,4,1.375,3.16666666666667,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"101",4,4,4,4,3.25,3.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"102",3,2,2,3,2.875,3.66666666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"103",4,4,4,2,2.375,2.66666666666667,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"104",5,3,1,4,5,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"105",3,4,5,3,3,2.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"106",2,4,3,3,3,2.83333333333333,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"107",5,4,5,4,2.5,3.66666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"108",3,4,4,4,1.875,2.66666666666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"109",4,4,4,4,3,3.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"110",2,3,4,5,3.25,3.83333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"111",4,3,2,3,3.75,3.16666666666667,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"112",4,2,3,5,4.375,4.66666666666667,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",4,5,4,5,2.875,3.16666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"114",4,2,4,4,4.5,3.5,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"115",3,5,5,5,1.875,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"116",4,4,5,3,2.375,3.66666666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"117",3,5,5,5,1,3.66666666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"118",4,1,3,1,2.875,4.33333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"119",2,2,4,2,5,3.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
"120",4,3,3,5,4.75,3.16666666666667,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"121",5,1,1,4,4.875,2.83333333333333,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
